time,Ri_Fx_Mi,Ri_Fy_Mi,Ri_Fz_Mi,Ri_rx_MiMj,Ri_ry_MiMj,Ri_rz_MiMj,Ri_vx_MiMj,Ri_vy_MiMj,Ri_vz_MiMj,k,c,sigma0,sigma1,sigma2,alpha,mu_s,mu_c,v_s,z,der(z)
0.9600000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.9700000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.9800000000000006,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
0.9900000000000007,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.000000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.010000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.020000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.030000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.040000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.050000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.060000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.070000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.080000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.090000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.100000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.110000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.120000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.130000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.140000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.150000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.160000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.170000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.180000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.190000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.200000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.210000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.220000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.230000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.240000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.250000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.260000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.270000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.280000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.290000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.300000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.310000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.320000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.330000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.340000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.350000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.360000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.370000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.380000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.390000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.400000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.410000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.420000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.430000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.440000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.450000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.460000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.470000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.480000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.490000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.500000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.510000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.520000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.530000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.540000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.550000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.560000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.570000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.580000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.590000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.600000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.610000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.620000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.630000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.640000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.650000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.660000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.670000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.680000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.690000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.700000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.710000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.720000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.730000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.740000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.750000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.760000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.770000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.780000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.790000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.800000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.810000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.820000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.830000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.840000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.850000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.860000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.870000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.880000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.890000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.900000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.910000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.920000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.930000000000001,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.940000000000002,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
1.950000000000002,-nan,-nan,-nan,0,0,0,0,0,0,50,50,0.01,0.01,0.1,1,0.6,0.43,1,-nan,-nan
